EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-08-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 105648) of UNITED KINGDOM, CAMBRIDGE (B. GDNS) (STAID: 1639)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
  1639,105648,20011119,    0,    0
  1639,105648,20011120,    0,    0
  1639,105648,20011121,   21,    0
  1639,105648,20011122,    0,    0
  1639,105648,20011123,    0,    0
  1639,105648,20011124,    3,    0
  1639,105648,20011125,   36,    0
  1639,105648,20011126,    0,    0
  1639,105648,20011127,   13,    0
  1639,105648,20011128,   61,    0
  1639,105648,20011129,   67,    0
  1639,105648,20011130,   31,    0
  1639,105648,20011201,   14,    0
  1639,105648,20011202,    0,    0
  1639,105648,20011203,   26,    0
  1639,105648,20011204,   36,    0
  1639,105648,20011205,    0,    0
  1639,105648,20011206,    0,    0
  1639,105648,20011207,    0,    0
  1639,105648,20011208,    0,    0
  1639,105648,20011209,    0,    0
  1639,105648,20011210,    3,    0
  1639,105648,20011211,    0,    0
  1639,105648,20011212,    0,    0
  1639,105648,20011213,    0,    0
  1639,105648,20011214,    0,    0
  1639,105648,20011215,    3,    0
  1639,105648,20011216,    0,    0
  1639,105648,20011217,    7,    0
  1639,105648,20011218,    0,    0
  1639,105648,20011219,   14,    0
  1639,105648,20011220,    0,    0
  1639,105648,20011221,   43,    0
  1639,105648,20011222,    3,    0
  1639,105648,20011223,   10,    0
  1639,105648,20011224,   24,    0
  1639,105648,20011225,    1,    0
  1639,105648,20011226,   10,    0
  1639,105648,20011227,    0,    0
  1639,105648,20011228,    0,    0
  1639,105648,20011229,    0,    0
  1639,105648,20011230,    3,    0
  1639,105648,20011231,    0,    0
  1639,105648,20020101,    0,    0
  1639,105648,20020102,    0,    0
  1639,105648,20020103,    0,    0
  1639,105648,20020104,    2,    0
  1639,105648,20020105,    7,    0
  1639,105648,20020106,    0,    0
  1639,105648,20020107,    0,    0
  1639,105648,20020108,    0,    0
  1639,105648,20020109,    0,    0
  1639,105648,20020110,   33,    0
  1639,105648,20020111,    0,    0
  1639,105648,20020112,    1,    0
  1639,105648,20020113,    0,    0
  1639,105648,20020114,    4,    0
  1639,105648,20020115,   12,    0
  1639,105648,20020116,    0,    0
  1639,105648,20020117,   16,    0
  1639,105648,20020118,    6,    0
  1639,105648,20020119,    0,    0
  1639,105648,20020120,    5,    0
  1639,105648,20020121,    0,    0
  1639,105648,20020122,   15,    0
  1639,105648,20020123,   22,    0
  1639,105648,20020124,    3,    0
  1639,105648,20020125,   61,    0
  1639,105648,20020126,   66,    0
  1639,105648,20020127,   17,    0
  1639,105648,20020128,    0,    0
  1639,105648,20020129,    0,    0
  1639,105648,20020130,   26,    0
  1639,105648,20020131,    3,    0
  1639,105648,20020201,    0,    0
  1639,105648,20020202,    0,    0
  1639,105648,20020203,   96,    0
  1639,105648,20020204,   27,    0
  1639,105648,20020205,    4,    0
  1639,105648,20020206,    0,    0
  1639,105648,20020207,   23,    0
  1639,105648,20020208,    5,    0
  1639,105648,20020209,    0,    0
  1639,105648,20020210,    0,    0
  1639,105648,20020211,   28,    0
  1639,105648,20020212,    0,    0
  1639,105648,20020213,    0,    0
  1639,105648,20020214,    0,    0
  1639,105648,20020215,    0,    0
  1639,105648,20020216,    0,    0
  1639,105648,20020217,    5,    0
  1639,105648,20020218,    0,    0
  1639,105648,20020219,   37,    0
  1639,105648,20020220,    0,    0
  1639,105648,20020221,   16,    0
  1639,105648,20020222,    1,    0
  1639,105648,20020223,   38,    0
  1639,105648,20020224,   83,    0
  1639,105648,20020225,   41,    0
  1639,105648,20020226,    1,    0
  1639,105648,20020227,    9,    0
  1639,105648,20020228,    2,    0
  1639,105648,20020301,    0,    0
  1639,105648,20020302,    1,    0
  1639,105648,20020303,    0,    0
  1639,105648,20020304,    0,    0
  1639,105648,20020305,    0,    0
  1639,105648,20020306,    0,    0
  1639,105648,20020307,    0,    0
  1639,105648,20020308,    4,    0
  1639,105648,20020309,    0,    0
  1639,105648,20020310,   16,    0
  1639,105648,20020311,    5,    0
  1639,105648,20020312,   11,    0
  1639,105648,20020313,    0,    0
  1639,105648,20020314,    7,    0
  1639,105648,20020315,   20,    0
  1639,105648,20020316,   91,    0
  1639,105648,20020317,   21,    0
  1639,105648,20020318,   97,    0
  1639,105648,20020319,   16,    0
  1639,105648,20020320,   72,    0
  1639,105648,20020321,    0,    0
  1639,105648,20020322,    0,    0
  1639,105648,20020323,    0,    0
  1639,105648,20020324,    0,    0
  1639,105648,20020325,    0,    0
  1639,105648,20020326,    0,    0
  1639,105648,20020327,    0,    0
  1639,105648,20020328,    0,    0
  1639,105648,20020329,    0,    0
  1639,105648,20020330,    0,    0
  1639,105648,20020331,    0,    0
  1639,105648,20020401,    0,    0
  1639,105648,20020402,    0,    0
  1639,105648,20020403,    0,    0
  1639,105648,20020404,    0,    0
  1639,105648,20020405,    0,    0
  1639,105648,20020406,    0,    0
  1639,105648,20020407,    0,    0
  1639,105648,20020408,    0,    0
  1639,105648,20020409,    0,    0
  1639,105648,20020410,    0,    0
  1639,105648,20020411,    0,    0
  1639,105648,20020412,    0,    0
  1639,105648,20020413,    0,    0
  1639,105648,20020414,    0,    0
  1639,105648,20020415,    0,    0
  1639,105648,20020416,    0,    0
  1639,105648,20020417,    8,    0
  1639,105648,20020418,   26,    0
  1639,105648,20020419,    0,    0
  1639,105648,20020420,    0,    0
  1639,105648,20020421,    0,    0
  1639,105648,20020422,    0,    0
  1639,105648,20020423,    0,    0
  1639,105648,20020424,    0,    0
  1639,105648,20020425,   11,    0
  1639,105648,20020426,   49,    0
  1639,105648,20020427,   70,    0
  1639,105648,20020428,   26,    0
  1639,105648,20020429,   37,    0
  1639,105648,20020430,   81,    0
  1639,105648,20020501,    0,    0
  1639,105648,20020502,    0,    0
  1639,105648,20020503,    0,    0
  1639,105648,20020504,    0,    0
  1639,105648,20020505,   11,    0
  1639,105648,20020506,    8,    0
  1639,105648,20020507,    0,    0
  1639,105648,20020508,    0,    0
  1639,105648,20020509,    0,    0
  1639,105648,20020510,    0,    0
  1639,105648,20020511,    0,    0
  1639,105648,20020512,   10,    0
  1639,105648,20020513,   70,    0
  1639,105648,20020514,    0,    0
  1639,105648,20020515,    0,    0
  1639,105648,20020516,    0,    0
  1639,105648,20020517,    5,    0
  1639,105648,20020518,    0,    0
  1639,105648,20020519,    0,    0
  1639,105648,20020520,   49,    0
  1639,105648,20020521,  110,    0
  1639,105648,20020522,    2,    0
  1639,105648,20020523,   28,    0
  1639,105648,20020524,    3,    0
  1639,105648,20020525,   29,    0
  1639,105648,20020526,   18,    0
  1639,105648,20020527,    0,    0
  1639,105648,20020528,    3,    0
  1639,105648,20020529,   34,    0
  1639,105648,20020530,   26,    0
  1639,105648,20020531,    0,    0
  1639,105648,20020601,    0,    0
  1639,105648,20020602,    0,    0
  1639,105648,20020603,    0,    0
  1639,105648,20020604,    0,    0
  1639,105648,20020605,   66,    0
  1639,105648,20020606,   14,    0
  1639,105648,20020607,    0,    0
  1639,105648,20020608,    0,    0
  1639,105648,20020609,   21,    0
  1639,105648,20020610,    9,    0
  1639,105648,20020611,   19,    0
  1639,105648,20020612,    0,    0
  1639,105648,20020613,    3,    0
  1639,105648,20020614,   14,    0
  1639,105648,20020615,   14,    0
  1639,105648,20020616,    0,    0
  1639,105648,20020617,  152,    0
  1639,105648,20020618,    0,    0
  1639,105648,20020619,    0,    0
  1639,105648,20020620,    5,    0
  1639,105648,20020621,   11,    0
  1639,105648,20020622,    0,    0
  1639,105648,20020623,    0,    0
  1639,105648,20020624,    0,    0
  1639,105648,20020625,    0,    0
  1639,105648,20020626,    0,    0
  1639,105648,20020627,    0,    0
  1639,105648,20020628,    0,    0
  1639,105648,20020629,    0,    0
  1639,105648,20020630,    2,    0
  1639,105648,20020701,    1,    0
  1639,105648,20020702,   99,    0
  1639,105648,20020703,   93,    0
  1639,105648,20020704,   27,    0
  1639,105648,20020705,   11,    0
  1639,105648,20020706,    0,    0
  1639,105648,20020707,    9,    0
  1639,105648,20020708,   82,    0
  1639,105648,20020709,    5,    0
  1639,105648,20020710,   35,    0
  1639,105648,20020711,   39,    0
  1639,105648,20020712,    0,    0
  1639,105648,20020713,    0,    0
  1639,105648,20020714,    0,    0
