EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 15-08-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : precipitation amount in 0.1 mm
30-34 Q_RR : Quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 156852) of UNITED KINGDOM, DURHAM (STAID: 461)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   RR, Q_RR
   461,156852,18800915,  231,    0
   461,156852,18800916,   20,    0
   461,156852,18800917,   33,    0
   461,156852,18800918,   38,    0
   461,156852,18800919,    0,    0
   461,156852,18800920,    1,    0
   461,156852,18800921,  149,    0
   461,156852,18800922,    0,    0
   461,156852,18800923,   11,    0
   461,156852,18800924,    0,    0
   461,156852,18800925,    8,    0
   461,156852,18800926,    0,    0
   461,156852,18800927,    0,    0
   461,156852,18800928,    0,    0
   461,156852,18800929,    0,    0
   461,156852,18800930,    0,    0
   461,156852,18801001,   13,    0
   461,156852,18801002,    7,    0
   461,156852,18801003,    0,    0
   461,156852,18801004,  130,    0
   461,156852,18801005,  226,    0
   461,156852,18801006,   25,    0
   461,156852,18801007,   99,    0
   461,156852,18801008,   63,    0
   461,156852,18801009,   26,    0
   461,156852,18801010,    0,    0
   461,156852,18801011,    0,    0
   461,156852,18801012,    0,    0
   461,156852,18801013,    0,    0
   461,156852,18801014,    2,    0
   461,156852,18801015,    0,    0
   461,156852,18801016,    0,    0
   461,156852,18801017,    0,    0
   461,156852,18801018,   67,    0
   461,156852,18801019,    8,    0
   461,156852,18801020,   55,    0
   461,156852,18801021,    5,    0
   461,156852,18801022,   41,    0
   461,156852,18801023,   27,    0
   461,156852,18801024,    0,    0
   461,156852,18801025,   31,    0
   461,156852,18801026,   22,    0
   461,156852,18801027,  393,    0
   461,156852,18801028,  219,    0
   461,156852,18801029,   41,    0
   461,156852,18801030,    0,    0
   461,156852,18801031,    0,    0
   461,156852,18801101,    0,    0
   461,156852,18801102,    0,    0
   461,156852,18801103,    0,    0
   461,156852,18801104,    0,    0
   461,156852,18801105,    0,    0
   461,156852,18801106,    0,    0
   461,156852,18801107,    1,    0
   461,156852,18801108,    0,    0
   461,156852,18801109,    2,    0
   461,156852,18801110,   24,    0
   461,156852,18801111,    0,    0
   461,156852,18801112,    0,    0
   461,156852,18801113,    3,    0
   461,156852,18801114,   41,    0
   461,156852,18801115,  106,    0
   461,156852,18801116,  111,    0
   461,156852,18801117,   60,    0
   461,156852,18801118,   51,    0
   461,156852,18801119,   57,    0
   461,156852,18801120,    0,    0
   461,156852,18801121,   23,    0
   461,156852,18801122,    0,    0
   461,156852,18801123,    0,    0
   461,156852,18801124,   45,    0
   461,156852,18801125,   30,    0
   461,156852,18801126,   13,    0
   461,156852,18801127,    0,    0
   461,156852,18801128,    0,    0
   461,156852,18801129,    0,    0
   461,156852,18801130,    0,    0
   461,156852,18801201,    5,    0
   461,156852,18801202,    0,    0
   461,156852,18801203,    5,    0
   461,156852,18801204,    8,    0
   461,156852,18801205,   18,    0
   461,156852,18801206,    0,    0
   461,156852,18801207,    0,    0
   461,156852,18801208,    0,    0
   461,156852,18801209,    0,    0
   461,156852,18801210,    0,    0
   461,156852,18801211,    0,    0
   461,156852,18801212,   29,    0
   461,156852,18801213,    0,    0
   461,156852,18801214,   25,    0
   461,156852,18801215,   26,    0
   461,156852,18801216,   12,    0
   461,156852,18801217,    0,    0
   461,156852,18801218,    5,    0
   461,156852,18801219,    0,    0
   461,156852,18801220,   33,    0
   461,156852,18801221,   17,    0
   461,156852,18801222,  172,    0
   461,156852,18801223,   49,    0
   461,156852,18801224,    3,    0
   461,156852,18801225,    0,    0
   461,156852,18801226,    0,    0
   461,156852,18801227,   14,    0
   461,156852,18801228,    8,    0
   461,156852,18801229,  270,    0
   461,156852,18801230,    3,    0
   461,156852,18801231,    0,    0
   461,156852,18810101,    0,    0
   461,156852,18810102,    0,    0
   461,156852,18810103,    0,    0
   461,156852,18810104,    0,    0
   461,156852,18810105,    0,    0
   461,156852,18810106,    0,    0
   461,156852,18810107,    0,    0
   461,156852,18810108,    0,    0
   461,156852,18810109,    0,    0
   461,156852,18810110,    0,    0
   461,156852,18810111,    5,    0
   461,156852,18810112,  104,    0
   461,156852,18810113,   53,    0
   461,156852,18810114,    0,    0
   461,156852,18810115,    0,    0
   461,156852,18810116,    0,    0
   461,156852,18810117,    0,    0
   461,156852,18810118,    0,    0
   461,156852,18810119,   17,    0
   461,156852,18810120,   15,    0
